question,type,options,answer,concepts
"A developer needs to provision a new virtual server for testing. Using a web portal, they are able to configure and launch the server in minutes without contacting the IT department. Which essential characteristic of cloud computing does this action demonstrate?",mcq,On-demand self-service|Measured service|Rapid elasticity|Resource pooling,On-demand self-service,"Cloud Characteristics,NIST Definition"
"In the Infrastructure as a Service (IaaS) model, the consumer is responsible for managing the underlying cloud infrastructure, including the physical servers and networking hardware.",truefalse,,False,"Cloud Service Models,IaaS,Shared Responsibility"
"A company wants to deploy a custom application but does not want to manage the underlying operating system, patching, or server hardware. Which cloud service model would be most appropriate?",mcq,Platform as a Service (PaaS)|Infrastructure as a Service (IaaS)|Software as a Service (SaaS)|On-premises,Platform as a Service (PaaS),"Cloud Service Models,PaaS"
"The cloud infrastructure's abstraction layer consists of the hardware resources like servers, storage, and network components.",truefalse,,False,Cloud Infrastructure
A financial services company needs to build a cloud environment for its exclusive use to meet strict regulatory and data privacy requirements. Which deployment model is best suited for this scenario?,mcq,Private cloud|Public cloud|Hybrid cloud|Community cloud,Private cloud,"Cloud Deployment Models,Private Cloud"
Rapid elasticity refers to the ability to scale resources both outward (scaling up) and inward (scaling down) commensurate with demand.,truefalse,,True,"Cloud Characteristics,Elasticity"
"According to Gartner's Cloud Decision Framework, an application with high business benefits but also high risks and challenges is a prime candidate for which approach?",mcq,A private cloud approach|Immediate migration to public cloud|Deferring cloud adoption indefinitely|Retiring the application,A private cloud approach,"Cloud Strategy,Cloud Migration Framework"
A 'cloud first' strategy mandates that an organization must move all of its existing IT workloads to the cloud immediately.,truefalse,,False,"Cloud Strategy,Cloud Migration"
The ability of a cloud provider to serve multiple customers from a shared pool of hardware and software resources is known as:,mcq,Resource pooling|On-demand self-service|Measured service|Broad network access,Resource pooling,"Cloud Characteristics,Multi-tenancy"
"In the context of cloud computing, multi-tenancy means that a single instance of a software application serves only one customer organization.",truefalse,,False,"Multi-tenancy,Cloud Architecture"
"Which cloud service model provides the highest level of control to the consumer over the operating systems, storage, and deployed applications?",mcq,Infrastructure as a Service (IaaS)|Platform as a Service (PaaS)|Software as a Service (SaaS)|Function as a Service (FaaS),Infrastructure as a Service (IaaS),"Cloud Service Models,IaaS"
A key difference between the traditional computing model and the cloud computing model is that cloud allows you to treat infrastructure as software.,truefalse,,True,"Cloud Fundamentals,Traditional IT vs Cloud"
Which of the following is listed by the Cloud Security Alliance as a top threat to cloud computing?,mcq,Insecure Application Programming Interfaces (APIs)|Slow network performance|High cost of data transfer|Limited choice of hardware vendors,Insecure Application Programming Interfaces (APIs),"Cloud Security,Cloud Threats"
A private cloud must be physically located on the premises of the organization that uses it.,truefalse,,False,"Cloud Deployment Models,Private Cloud"
"A cloud system that automatically controls and optimizes resource use by leveraging a metering capability for things like storage, processing, and bandwidth is demonstrating which characteristic?",mcq,Measured service|Rapid elasticity|Resource pooling|On-demand self-service,Measured service,"Cloud Characteristics,Billing"
"The AWS Cloud Adoption Framework includes a 'People' perspective, which addresses the skills and organizational changes needed for successful cloud adoption.",truefalse,,True,"Cloud Adoption Framework,AWS"
"In the sample AWS architecture for a simple application, which service provides the core compute capability to run code and process data?",mcq,Amazon Elastic Compute Cloud (Amazon EC2)|Amazon Simple Storage Service (Amazon S3)|Amazon DynamoDB|Amazon Virtual Private Cloud (Amazon VPC),Amazon Elastic Compute Cloud (Amazon EC2),"AWS Services,Cloud Architecture"
Accessing a cloud application through a web browser on a laptop and a dedicated app on a mobile phone are both examples of the 'Broad Network Access' characteristic.,truefalse,,True,"Cloud Characteristics,NIST Definition"
"Which of the following is considered a primary driver for cloud migration, as opposed to an inhibitor?",mcq,Enabling developer productivity and agility|Concerns over data security and privacy|Existing investments in on-premises infrastructure|Complex compliance and legal requirements,Enabling developer productivity and agility,"Cloud Migration,Cloud Drivers"
A hybrid cloud deployment model is defined as using services from two or more different public cloud providers.,truefalse,,False,"Cloud Deployment Models,Hybrid Cloud"
A company that uses a web-based CRM application like Salesforce is consuming a service based on which model?,mcq,Software as a Service (SaaS)|Platform as a Service (PaaS)|Infrastructure as a Service (IaaS)|Community as a Service (CaaS),Software as a Service (SaaS),"Cloud Service Models,SaaS"
Not all traditional IT workloads are well-suited for migration to a public cloud environment.,truefalse,,True,"Cloud Migration,Cloud Strategy"
The NIST definition of cloud computing emphasizes that resources should be provisioned and released rapidly with ________ management effort or service provider interaction.,mcq,minimal|significant|continuous|no,minimal,"NIST Definition,Cloud Fundamentals"
"In the PaaS service model, the consumer has control over the deployed applications and their hosting environment configurations.",truefalse,,True,"Cloud Service Models,PaaS"
"A cloud deployment model created for the shared use of several organizations with common concerns, such as a group of universities or government agencies, is called a:",mcq,Community cloud|Public cloud|Private cloud|Personal cloud,Community cloud,"Cloud Deployment Models,Community Cloud"
"According to the NIST definition, 'ubiquitous network access' is a core part of cloud computing.",truefalse,,True,"Cloud Characteristics,NIST Definition"
Which layer of the cloud infrastructure is responsible for manifesting the five essential characteristics of cloud computing through software?,mcq,The abstraction layer|The physical layer|The network layer|The application layer,The abstraction layer,Cloud Infrastructure
"In a cloud security shared responsibility model for IaaS, the cloud provider is typically responsible for securing the physical datacenter.",truefalse,,True,"Cloud Security,Shared Responsibility"
The traditional IT model is often characterized by:,mcq,"A long hardware procurement cycle and provisioning for peak capacity|Treating infrastructure as software|A pay-per-use, self-service model|Rapid elasticity to meet fluctuating demand",A long hardware procurement cycle and provisioning for peak capacity,Traditional IT vs Cloud
"All cloud service models (IaaS, PaaS, SaaS) require the consumer to manage their own data and user access.",truefalse,,True,"Cloud Service Models,Shared Responsibility"
