question,type,options,answer,concepts
"A product team is measured solely on their ability to deliver a pre-defined list of features on schedule. According to the study material, this team is most accurately described as a 'Delivery Team' because their primary focus is on output rather than outcome.",truefalse,,True,"Product Team vs Delivery Team,Product Mindset"
"A Product Manager is evaluating a new feature. The engineering team confirms they have the technology to build it, and user interviews suggest customers would love it. However, financial modeling shows the feature would significantly increase operational costs without a clear path to revenue, making the company unprofitable. This feature primarily fails the test of:",mcq,Viability|Feasibility|Desirability|Scalability,Viability,"Product Trio,Business Strategy"
"According to the SVPG discovery principles, a product team should prioritize building a full-featured, production-quality version of an idea as quickly as possible to get definitive feedback from the market.",truefalse,,False,"Discovery Principles,Iterative Development"
Which of the following statements best exemplifies the 'product strategy trap' as described in the material?,mcq,Our strategy is to build a new dashboard with real-time analytics for enterprise users.|Our strategy is to expand into the European market by addressing the needs of small businesses.|Our strategy is to become the market leader by solving the primary scheduling frustrations for freelance workers.|Our strategy is to increase user retention by 15% through improvements in our onboarding flow.,Our strategy is to build a new dashboard with real-time analytics for enterprise users.,"Product Strategy,Product Vision"
A Product Manager using the 'Jobs to be Done' framework would primarily focus on the demographic and psychographic profiles of their users to define requirements.,truefalse,,False,"Jobs to be Done,Customer Problems"
"A metric shows a 300% increase in 'registered users' for a new app, but the 'weekly active users' count has remained flat. This 'registered users' metric is a classic example of:",mcq,A vanity metric|A comparative metric|A ratio-based metric|An outcome-oriented metric,A vanity metric,"Metrics,Vanity Metrics"
"The 'Product Owner' is a strategic role responsible for the product's long-term vision and market success, while the 'Product Manager' is a tactical role focused exclusively on managing the backlog within a Scrum framework.",truefalse,,False,Product Manager vs Product Owner
"A team identifies a problem that many customers complain about. However, analysis shows that these customers are not using any workarounds, nor are they switching to competitors to solve it. What does this likely indicate about the problem?",mcq,The problem represents an unrealized need.|The need to solve the problem is not very strong.|The problem is technically infeasible to solve.|The problem requires a quantitative discovery approach.,The need to solve the problem is not very strong.,"Evaluating Customer Problems,Customer Needs"
"If a product team is focused on understanding whether users will choose to use a proposed solution and if they understand how to use it, they are primarily addressing the 'Feasibility' threat to the product's success.",truefalse,,False,"Product Trio,Desirability"
"Which of the following best represents a JTBD (Jobs to be Done) story format, as contrasted with a user story?",mcq,"As a project manager, I want a calendar integration, so that I can schedule meetings.|The system shall allow users to view multiple calendars simultaneously.|When I'm trying to coordinate a group meeting, I want to see everyone's availability at once, so I can find a time that works without endless back-and-forth emails.|Increase user satisfaction by adding a multi-calendar view feature to the scheduling tool.","When I'm trying to coordinate a group meeting, I want to see everyone's availability at once, so I can find a time that works without endless back-and-forth emails.","Jobs to be Done,Customer Problems"
A key principle of the 'Product Mindset' is that cross-functional collaboration is important but secondary to maintaining a fixed project scope to ensure on-time delivery.,truefalse,,False,Product Mindset
A product manager is analyzing website analytics to understand drop-off points in the user registration funnel. This activity is an example of using:,mcq,Qualitative data to understand 'why' users behave a certain way.|Quantitative data to understand 'what' is happening.|Unrealized needs analysis to innovate on the product.|A/B testing to validate a solution.,Quantitative data to understand 'what' is happening.,"Qualitative vs Quantitative Data,Discovery"
A product team that only engages with customers after a feature has been fully coded and deployed is correctly practicing the principle of continuous discovery.,truefalse,,False,"Continuous Discovery Habits,Product Team vs Delivery Team"
"Uber's statement, 'Make Uber the cheap and efficient alternative to both owning a vehicle and taking public transportation,' serves as an example of a:",mcq,Product Vision|Business Goal|Key Feature|Product Strategy,Product Vision,"Product Vision,Product Strategy"
An 'unrealized need' is a problem that a customer is consciously aware of and can clearly articulate to a product team during an interview.,truefalse,,False,"Unmet vs Unrealized Needs,Customer Problems"
"A product manager's core competencies include leading and influencing their team primarily through formal, hierarchical authority.",truefalse,,False,"Product Management Core Competencies,Role of Product Manager"
"Which of the following is the best example of a good metric according to the three key characteristics (comparative, understandable, a ratio) provided in the material?",mcq,Total downloads this month|Number of story points completed per sprint|Time spent on the homepage|Daily Active Users to Monthly Active Users (DAU/MAU) ratio,Daily Active Users to Monthly Active Users (DAU/MAU) ratio,"Metrics,Vanity Metrics"
The primary goal of the discovery process is to produce a detailed list of feature requirements for the engineering team to build.,truefalse,,False,Discovery
